# _root_ " Ko ste bili vi mladi , smo bili mi vsi še na drevesih , " je rekel gostilničar in namignil drugim gostom .
#goldHeads=9,9,4,2,4,4,2,9,18,9,10,14,9,13,9,9,18,20,18,0,20,23,21,0,
#predictedHeads=2,0,4,2,2,2,2,9,2,2,2,2,2,2,2,2,18,2,2,2,2,2,2,0,
(0,1),0.0900813 # DEPENDENCYPART_ARC
(0,2),0.0602503 # DEPENDENCYPART_ARC
(0,3),-0.00728927 # DEPENDENCYPART_ARC
(0,4),0.0464324 # DEPENDENCYPART_ARC
(0,5),-0.0249676 # DEPENDENCYPART_ARC
(0,6),-0.24522 # DEPENDENCYPART_ARC
(0,7),0.0839351 # DEPENDENCYPART_ARC
(0,8),-0.0675892 # DEPENDENCYPART_ARC
(0,9),0.00402799 # DEPENDENCYPART_ARC
(0,10),-0.0364886 # DEPENDENCYPART_ARC
(0,11),-0.0475041 # DEPENDENCYPART_ARC
(0,12),-0.0300861 # DEPENDENCYPART_ARC
(0,13),-0.0251545 # DEPENDENCYPART_ARC
(0,14),-0.131441 # DEPENDENCYPART_ARC
(0,15),0.187282 # DEPENDENCYPART_ARC
(0,16),0.303672 # DEPENDENCYPART_ARC
(0,17),-0.0998585 # DEPENDENCYPART_ARC
(0,18),0.0102772 # DEPENDENCYPART_ARC
(0,19),-0.151672 # DEPENDENCYPART_ARC
(0,20),0.17599 # DEPENDENCYPART_ARC
(0,21),0.00105068 # DEPENDENCYPART_ARC
(0,22),-0.0291342 # DEPENDENCYPART_ARC
(0,23),-0.150423 # DEPENDENCYPART_ARC
(0,24),1.21065 # DEPENDENCYPART_ARC
(1,2),0.0176881 # DEPENDENCYPART_ARC
(1,3),0.00983332 # DEPENDENCYPART_ARC
(1,4),-0.0258844 # DEPENDENCYPART_ARC
(1,5),-0.0341232 # DEPENDENCYPART_ARC
(1,6),-0.0237601 # DEPENDENCYPART_ARC
(1,7),-0.0516854 # DEPENDENCYPART_ARC
(1,8),-0.0788804 # DEPENDENCYPART_ARC
(1,9),-0.0737484 # DEPENDENCYPART_ARC
(1,10),-0.0676005 # DEPENDENCYPART_ARC
(1,11),-0.0687891 # DEPENDENCYPART_ARC
(1,12),-0.0776383 # DEPENDENCYPART_ARC
(1,13),-0.0784709 # DEPENDENCYPART_ARC
(1,14),-0.121062 # DEPENDENCYPART_ARC
(1,15),-0.082617 # DEPENDENCYPART_ARC
(1,16),-0.0839169 # DEPENDENCYPART_ARC
(1,17),-0.0838536 # DEPENDENCYPART_ARC
(1,18),-0.0861996 # DEPENDENCYPART_ARC
(1,19),-0.127016 # DEPENDENCYPART_ARC
(1,20),-0.0704031 # DEPENDENCYPART_ARC
(1,21),-0.0827974 # DEPENDENCYPART_ARC
(1,22),-0.0764686 # DEPENDENCYPART_ARC
(1,23),-0.138025 # DEPENDENCYPART_ARC
(1,24),-0.082163 # DEPENDENCYPART_ARC
(2,1),0.124478 # DEPENDENCYPART_ARC
(2,3),0.132995 # DEPENDENCYPART_ARC
(2,4),0.139506 # DEPENDENCYPART_ARC
(2,5),0.00555839 # DEPENDENCYPART_ARC
(2,6),-0.0844175 # DEPENDENCYPART_ARC
(2,7),-0.029204 # DEPENDENCYPART_ARC
(2,8),0.0214472 # DEPENDENCYPART_ARC
(2,9),0.0513268 # DEPENDENCYPART_ARC
(2,10),-0.0303016 # DEPENDENCYPART_ARC
(2,11),-0.0304453 # DEPENDENCYPART_ARC
(2,12),-0.0476681 # DEPENDENCYPART_ARC
(2,13),-0.0455259 # DEPENDENCYPART_ARC
(2,14),-0.049117 # DEPENDENCYPART_ARC
(2,15),-0.0694261 # DEPENDENCYPART_ARC
(2,16),-0.0747149 # DEPENDENCYPART_ARC
(2,17),-0.00230043 # DEPENDENCYPART_ARC
(2,18),0.0363162 # DEPENDENCYPART_ARC
(2,19),-0.0582808 # DEPENDENCYPART_ARC
(2,20),-0.0456633 # DEPENDENCYPART_ARC
(2,21),0.0248509 # DEPENDENCYPART_ARC
(2,22),-0.0376526 # DEPENDENCYPART_ARC
(2,23),-0.0631659 # DEPENDENCYPART_ARC
(2,24),-0.081245 # DEPENDENCYPART_ARC
(3,1),0.0291499 # DEPENDENCYPART_ARC
(3,2),0.00217697 # DEPENDENCYPART_ARC
(3,4),-0.474973 # DEPENDENCYPART_ARC
(3,5),-0.00665745 # DEPENDENCYPART_ARC
(3,6),-0.202777 # DEPENDENCYPART_ARC
(3,7),-0.0701747 # DEPENDENCYPART_ARC
(3,8),-0.164153 # DEPENDENCYPART_ARC
(3,9),-0.629697 # DEPENDENCYPART_ARC
(3,10),-0.0923947 # DEPENDENCYPART_ARC
(3,11),-0.0885909 # DEPENDENCYPART_ARC
(3,12),-0.0934685 # DEPENDENCYPART_ARC
(3,13),-0.148723 # DEPENDENCYPART_ARC
(3,14),-0.217395 # DEPENDENCYPART_ARC
(3,15),-0.153802 # DEPENDENCYPART_ARC
(3,16),-0.151074 # DEPENDENCYPART_ARC
(3,17),-0.159979 # DEPENDENCYPART_ARC
(3,18),-0.728849 # DEPENDENCYPART_ARC
(3,19),-0.204577 # DEPENDENCYPART_ARC
(3,20),-0.162365 # DEPENDENCYPART_ARC
