# _root_ Obrnil se je , mrmrajoč sam pri sebi , in se zadel ob Winstona .
#goldHeads=10,1,1,5,1,5,5,7,5,0,12,10,12,13,0,
#predictedHeads=0,1,12,1,1,1,1,1,10,1,1,10,1,1,0,
(0,1),0.124662 # DEPENDENCYPART_ARC
(0,2),0.0206871 # DEPENDENCYPART_ARC
(0,3),-0.0209124 # DEPENDENCYPART_ARC
(0,4),0.0730645 # DEPENDENCYPART_ARC
(0,5),-0.297429 # DEPENDENCYPART_ARC
(0,6),-0.312293 # DEPENDENCYPART_ARC
(0,7),-0.0349292 # DEPENDENCYPART_ARC
(0,8),-0.034279 # DEPENDENCYPART_ARC
(0,9),0.100822 # DEPENDENCYPART_ARC
(0,10),0.0695334 # DEPENDENCYPART_ARC
(0,11),-0.0497231 # DEPENDENCYPART_ARC
(0,12),-0.0151519 # DEPENDENCYPART_ARC
(0,13),-0.0412447 # DEPENDENCYPART_ARC
(0,14),-0.165103 # DEPENDENCYPART_ARC
(0,15),0.68705 # DEPENDENCYPART_ARC
(1,2),0.023853 # DEPENDENCYPART_ARC
(1,3),0.308537 # DEPENDENCYPART_ARC
(1,4),-0.0566402 # DEPENDENCYPART_ARC
(1,5),-0.374256 # DEPENDENCYPART_ARC
(1,6),-0.376244 # DEPENDENCYPART_ARC
(1,7),-0.0293487 # DEPENDENCYPART_ARC
(1,8),-0.0670568 # DEPENDENCYPART_ARC
(1,9),-0.107561 # DEPENDENCYPART_ARC
(1,10),-0.130111 # DEPENDENCYPART_ARC
(1,11),-0.0958384 # DEPENDENCYPART_ARC
(1,12),-0.80187 # DEPENDENCYPART_ARC
(1,13),-0.133385 # DEPENDENCYPART_ARC
(1,14),-0.182562 # DEPENDENCYPART_ARC
(1,15),-0.187353 # DEPENDENCYPART_ARC
(2,1),0.0324673 # DEPENDENCYPART_ARC
(2,3),0.0265775 # DEPENDENCYPART_ARC
(2,4),-0.00501802 # DEPENDENCYPART_ARC
(2,5),-0.0465567 # DEPENDENCYPART_ARC
(2,6),-0.0520073 # DEPENDENCYPART_ARC
(2,7),-0.0457655 # DEPENDENCYPART_ARC
(2,8),-0.059286 # DEPENDENCYPART_ARC
(2,9),-0.0600584 # DEPENDENCYPART_ARC
(2,10),-0.0536135 # DEPENDENCYPART_ARC
(2,11),-0.0624734 # DEPENDENCYPART_ARC
(2,12),-0.0692107 # DEPENDENCYPART_ARC
(2,13),-0.0789304 # DEPENDENCYPART_ARC
(2,14),-0.0970232 # DEPENDENCYPART_ARC
(2,15),-0.0741986 # DEPENDENCYPART_ARC
(3,1),-0.659795 # DEPENDENCYPART_ARC
(3,2),0.000753059 # DEPENDENCYPART_ARC
(3,4),0.0118944 # DEPENDENCYPART_ARC
(3,5),-0.127393 # DEPENDENCYPART_ARC
(3,6),-0.159278 # DEPENDENCYPART_ARC
(3,7),-0.115006 # DEPENDENCYPART_ARC
(3,8),-0.0869318 # DEPENDENCYPART_ARC
(3,9),-0.0844064 # DEPENDENCYPART_ARC
(3,10),-0.103855 # DEPENDENCYPART_ARC
(3,11),-0.0871274 # DEPENDENCYPART_ARC
(3,12),-0.738026 # DEPENDENCYPART_ARC
(3,13),-0.193925 # DEPENDENCYPART_ARC
(3,14),-0.180379 # DEPENDENCYPART_ARC
(3,15),-0.165735 # DEPENDENCYPART_ARC
(4,1),-0.035619 # DEPENDENCYPART_ARC
(4,2),-0.0164751 # DEPENDENCYPART_ARC
(4,3),0.0206136 # DEPENDENCYPART_ARC
(4,5),0.0882256 # DEPENDENCYPART_ARC
(4,6),0.0643986 # DEPENDENCYPART_ARC
(4,7),0.0275093 # DEPENDENCYPART_ARC
(4,8),0.0193129 # DEPENDENCYPART_ARC
(4,9),0.00716406 # DEPENDENCYPART_ARC
(4,10),-0.0148813 # DEPENDENCYPART_ARC
(4,11),-0.020255 # DEPENDENCYPART_ARC
(4,12),-0.0123522 # DEPENDENCYPART_ARC
(4,13),-0.0311142 # DEPENDENCYPART_ARC
(4,14),-0.0545516 # DEPENDENCYPART_ARC
(4,15),-0.0601441 # DEPENDENCYPART_ARC
(5,1),-0.195903 # DEPENDENCYPART_ARC
(5,2),-0.0436949 # DEPENDENCYPART_ARC
(5,3),-0.040764 # DEPENDENCYPART_ARC
(5,4),0.0415164 # DEPENDENCYPART_ARC
(5,6),-0.00351484 # DEPENDENCYPART_ARC
(5,7),0.0990887 # DEPENDENCYPART_ARC
(5,8),-0.0380086 # DEPENDENCYPART_ARC
(5,9),0.00882223 # DEPENDENCYPART_ARC
(5,10),-0.00953847 # DEPENDENCYPART_ARC
(5,11),-0.0373103 # DEPENDENCYPART_ARC
(5,12),-0.0573726 # DEPENDENCYPART_ARC
(5,13),0.0296575 # DEPENDENCYPART_ARC
(5,14),-0.0822558 # DEPENDENCYPART_ARC
(5,15),-0.0513312 # DEPENDENCYPART_ARC
(6,1),-0.184678 # DEPENDENCYPART_ARC
(6,2),-0.0296462 # DEPENDENCYPART_ARC
(6,3),-0.0509697 # DEPENDENCYPART_ARC
(6,4),0.0339746 # DEPENDENCYPART_ARC
(6,5),0.0269704 # DEPENDENCYPART_ARC
