# _root_ Igra s puščicami , ki so jih metali na drugem koncu sobe , je za celih trideset sekund prenehala .
#goldHeads=19,1,2,5,3,8,8,5,8,11,9,11,5,19,19,18,15,17,0,0,
#predictedHeads=5,5,5,5,0,8,5,5,5,5,5,5,5,19,5,5,5,5,5,0,
(0,1),0.00736965 # DEPENDENCYPART_ARC
(0,2),0.0604748 # DEPENDENCYPART_ARC
(0,3),-0.0182048 # DEPENDENCYPART_ARC
(0,4),0.118697 # DEPENDENCYPART_ARC
(0,5),0.0605722 # DEPENDENCYPART_ARC
(0,6),-0.0437891 # DEPENDENCYPART_ARC
(0,7),-0.0192357 # DEPENDENCYPART_ARC
(0,8),0.048674 # DEPENDENCYPART_ARC
(0,9),-0.0147145 # DEPENDENCYPART_ARC
(0,10),-0.023543 # DEPENDENCYPART_ARC
(0,11),-0.112128 # DEPENDENCYPART_ARC
(0,12),-0.111756 # DEPENDENCYPART_ARC
(0,13),0.191018 # DEPENDENCYPART_ARC
(0,14),-0.0707508 # DEPENDENCYPART_ARC
(0,15),-0.0247496 # DEPENDENCYPART_ARC
(0,16),-0.22606 # DEPENDENCYPART_ARC
(0,17),-0.135998 # DEPENDENCYPART_ARC
(0,18),-0.132752 # DEPENDENCYPART_ARC
(0,19),0.0187259 # DEPENDENCYPART_ARC
(0,20),1.07409 # DEPENDENCYPART_ARC
(1,2),0.0508839 # DEPENDENCYPART_ARC
(1,3),-0.0274243 # DEPENDENCYPART_ARC
(1,4),-0.0258188 # DEPENDENCYPART_ARC
(1,5),-0.0113179 # DEPENDENCYPART_ARC
(1,6),-0.0866607 # DEPENDENCYPART_ARC
(1,7),-0.100986 # DEPENDENCYPART_ARC
(1,8),-0.154817 # DEPENDENCYPART_ARC
(1,9),-0.0731933 # DEPENDENCYPART_ARC
(1,10),-0.104718 # DEPENDENCYPART_ARC
(1,11),-0.152808 # DEPENDENCYPART_ARC
(1,12),-0.0836947 # DEPENDENCYPART_ARC
(1,13),-0.0938069 # DEPENDENCYPART_ARC
(1,14),-0.143512 # DEPENDENCYPART_ARC
(1,15),-0.0675414 # DEPENDENCYPART_ARC
(1,16),-0.154974 # DEPENDENCYPART_ARC
(1,17),-0.11681 # DEPENDENCYPART_ARC
(1,18),-0.118055 # DEPENDENCYPART_ARC
(1,19),-0.184146 # DEPENDENCYPART_ARC
(1,20),-0.104202 # DEPENDENCYPART_ARC
(2,1),0.0112006 # DEPENDENCYPART_ARC
(2,3),0.305614 # DEPENDENCYPART_ARC
(2,4),0.046765 # DEPENDENCYPART_ARC
(2,5),0.0376147 # DEPENDENCYPART_ARC
(2,6),-0.0179916 # DEPENDENCYPART_ARC
(2,7),0.146267 # DEPENDENCYPART_ARC
(2,8),-0.0826962 # DEPENDENCYPART_ARC
(2,9),-0.0278117 # DEPENDENCYPART_ARC
(2,10),0.069871 # DEPENDENCYPART_ARC
(2,11),0.0593756 # DEPENDENCYPART_ARC
(2,12),0.057723 # DEPENDENCYPART_ARC
(2,13),-0.0617512 # DEPENDENCYPART_ARC
