# _root_ Gruča drugih , ki so stali naokoli s kozarci v rokah , je opazovala prizor .
#goldHeads=14,1,4,2,6,4,6,6,8,9,10,4,14,0,14,0,
#predictedHeads=4,4,4,0,6,4,4,4,4,4,4,4,14,4,4,0,
(0,1),0.00817715 # DEPENDENCYPART_ARC
(0,2),0.0492136 # DEPENDENCYPART_ARC
(0,3),0.0964626 # DEPENDENCYPART_ARC
(0,4),0.0562115 # DEPENDENCYPART_ARC
(0,5),-0.028044 # DEPENDENCYPART_ARC
(0,6),0.0398215 # DEPENDENCYPART_ARC
(0,7),-0.0276875 # DEPENDENCYPART_ARC
(0,8),-0.0111278 # DEPENDENCYPART_ARC
(0,9),-0.102129 # DEPENDENCYPART_ARC
(0,10),-0.0150649 # DEPENDENCYPART_ARC
(0,11),-0.116442 # DEPENDENCYPART_ARC
(0,12),0.16875 # DEPENDENCYPART_ARC
(0,13),-0.0756293 # DEPENDENCYPART_ARC
(0,14),0.0283454 # DEPENDENCYPART_ARC
(0,15),-0.132775 # DEPENDENCYPART_ARC
(0,16),0.905644 # DEPENDENCYPART_ARC
(1,2),0.0037553 # DEPENDENCYPART_ARC
(1,3),-0.0040243 # DEPENDENCYPART_ARC
(1,4),-0.00577892 # DEPENDENCYPART_ARC
(1,5),-0.0853212 # DEPENDENCYPART_ARC
(1,6),-0.152593 # DEPENDENCYPART_ARC
(1,7),-0.0790957 # DEPENDENCYPART_ARC
(1,8),-0.0460936 # DEPENDENCYPART_ARC
(1,9),-0.1491 # DEPENDENCYPART_ARC
(1,10),-0.0762607 # DEPENDENCYPART_ARC
(1,11),-0.158161 # DEPENDENCYPART_ARC
(1,12),-0.0916855 # DEPENDENCYPART_ARC
(1,13),-0.143153 # DEPENDENCYPART_ARC
(1,14),-0.183417 # DEPENDENCYPART_ARC
(1,15),-0.226915 # DEPENDENCYPART_ARC
(1,16),-0.0988046 # DEPENDENCYPART_ARC
(2,1),0.0368615 # DEPENDENCYPART_ARC
(2,3),0.0525322 # DEPENDENCYPART_ARC
(2,4),0.0283804 # DEPENDENCYPART_ARC
(2,5),-0.0068274 # DEPENDENCYPART_ARC
(2,6),-0.0319629 # DEPENDENCYPART_ARC
(2,7),-0.021198 # DEPENDENCYPART_ARC
(2,8),-0.0305035 # DEPENDENCYPART_ARC
(2,9),-0.0491559 # DEPENDENCYPART_ARC
(2,10),-0.0299775 # DEPENDENCYPART_ARC
(2,11),-0.0572237 # DEPENDENCYPART_ARC
(2,12),-0.0347842 # DEPENDENCYPART_ARC
(2,13),-0.0694071 # DEPENDENCYPART_ARC
(2,14),-0.0708932 # DEPENDENCYPART_ARC
(2,15),-0.0504861 # DEPENDENCYPART_ARC
(2,16),-0.0446127 # DEPENDENCYPART_ARC
(3,1),0.0252553 # DEPENDENCYPART_ARC
(3,2),0.039294 # DEPENDENCYPART_ARC
(3,4),0.0503953 # DEPENDENCYPART_ARC
(3,5),0.0453775 # DEPENDENCYPART_ARC
(3,6),0.00909026 # DEPENDENCYPART_ARC
(3,7),0.00324476 # DEPENDENCYPART_ARC
(3,8),0.00181508 # DEPENDENCYPART_ARC
(3,9),-0.0296888 # DEPENDENCYPART_ARC
(3,10),-0.0146999 # DEPENDENCYPART_ARC
(3,11),-0.0274811 # DEPENDENCYPART_ARC
(3,12),-0.0208223 # DEPENDENCYPART_ARC
(3,13),-0.0363566 # DEPENDENCYPART_ARC
(3,14),-0.050883 # DEPENDENCYPART_ARC
(3,15),-0.0710718 # DEPENDENCYPART_ARC
(3,16),-0.0566143 # DEPENDENCYPART_ARC
(4,1),0.000644551 # DEPENDENCYPART_ARC
(4,2),0.0307979 # DEPENDENCYPART_ARC
(4,3),0.138201 # DEPENDENCYPART_ARC
