# _root_ " Ima se za gostilničarja , pa ne ve , kaj je polič . "
#goldHeads=7,7,2,2,4,7,0,9,7,12,12,9,12,7,7,
#predictedHeads=7,7,7,7,4,7,0,7,7,7,7,7,7,0,0,
(0,1),0.090387 # DEPENDENCYPART_ARC
(0,2),0.00226395 # DEPENDENCYPART_ARC
(0,3),-0.000783141 # DEPENDENCYPART_ARC
(0,4),-0.00120271 # DEPENDENCYPART_ARC
(0,5),-0.0781872 # DEPENDENCYPART_ARC
(0,6),0.0911723 # DEPENDENCYPART_ARC
(0,7),0.0332185 # DEPENDENCYPART_ARC
(0,8),-0.0165421 # DEPENDENCYPART_ARC
(0,9),-0.0551754 # DEPENDENCYPART_ARC
(0,10),0.114993 # DEPENDENCYPART_ARC
(0,11),-0.0276407 # DEPENDENCYPART_ARC
(0,12),-0.0792803 # DEPENDENCYPART_ARC
(0,13),-0.125081 # DEPENDENCYPART_ARC
(0,14),0.651251 # DEPENDENCYPART_ARC
(0,15),0.301169 # DEPENDENCYPART_ARC
(1,2),0.0182542 # DEPENDENCYPART_ARC
(1,3),-0.0116336 # DEPENDENCYPART_ARC
(1,4),-0.0254035 # DEPENDENCYPART_ARC
(1,5),-0.0464287 # DEPENDENCYPART_ARC
(1,6),-0.0417798 # DEPENDENCYPART_ARC
(1,7),-0.0648931 # DEPENDENCYPART_ARC
(1,8),-0.0694966 # DEPENDENCYPART_ARC
(1,9),-0.0707575 # DEPENDENCYPART_ARC
(1,10),-0.0769672 # DEPENDENCYPART_ARC
(1,11),-0.0793641 # DEPENDENCYPART_ARC
(1,12),-0.0993754 # DEPENDENCYPART_ARC
(1,13),-0.130013 # DEPENDENCYPART_ARC
(1,14),-0.0911464 # DEPENDENCYPART_ARC
(1,15),-0.0837046 # DEPENDENCYPART_ARC
(2,1),0.0625646 # DEPENDENCYPART_ARC
(2,3),0.029894 # DEPENDENCYPART_ARC
(2,4),-0.0624678 # DEPENDENCYPART_ARC
(2,5),-0.00978584 # DEPENDENCYPART_ARC
(2,6),-0.0223627 # DEPENDENCYPART_ARC
(2,7),-0.0373463 # DEPENDENCYPART_ARC
(2,8),-0.0466835 # DEPENDENCYPART_ARC
(2,9),-0.154363 # DEPENDENCYPART_ARC
(2,10),-0.0834603 # DEPENDENCYPART_ARC
(2,11),-0.0906432 # DEPENDENCYPART_ARC
(2,12),-0.195535 # DEPENDENCYPART_ARC
(2,13),-0.167474 # DEPENDENCYPART_ARC
(2,14),-0.150582 # DEPENDENCYPART_ARC
(2,15),-0.115054 # DEPENDENCYPART_ARC
(3,1),-0.0131414 # DEPENDENCYPART_ARC
(3,2),0.0259446 # DEPENDENCYPART_ARC
(3,4),0.0527486 # DEPENDENCYPART_ARC
(3,5),0.038137 # DEPENDENCYPART_ARC
(3,6),0.0198851 # DEPENDENCYPART_ARC
(3,7),0.000464858 # DEPENDENCYPART_ARC
(3,8),-0.00514763 # DEPENDENCYPART_ARC
(3,9),-0.0239447 # DEPENDENCYPART_ARC
(3,10),-0.0351061 # DEPENDENCYPART_ARC
(3,11),-0.0347725 # DEPENDENCYPART_ARC
(3,12),-0.0431312 # DEPENDENCYPART_ARC
(3,13),-0.0572183 # DEPENDENCYPART_ARC
(3,14),-0.0510133 # DEPENDENCYPART_ARC
(3,15),-0.0435829 # DEPENDENCYPART_ARC
(4,1),-0.0412196 # DEPENDENCYPART_ARC
(4,2),-0.038942 # DEPENDENCYPART_ARC
(4,3),0.0197791 # DEPENDENCYPART_ARC
(4,5),0.246116 # DEPENDENCYPART_ARC
(4,6),0.0317003 # DEPENDENCYPART_ARC
(4,7),0.0225412 # DEPENDENCYPART_ARC
(4,8),-0.00381481 # DEPENDENCYPART_ARC
(4,9),-0.065878 # DEPENDENCYPART_ARC
(4,10),-0.0480096 # DEPENDENCYPART_ARC
(4,11),-0.0175606 # DEPENDENCYPART_ARC
(4,12),-0.102924 # DEPENDENCYPART_ARC
(4,13),0.0153553 # DEPENDENCYPART_ARC
(4,14),-0.0777629 # DEPENDENCYPART_ARC
(4,15),-0.0688304 # DEPENDENCYPART_ARC
(5,1),-0.0136091 # DEPENDENCYPART_ARC
(5,2),0.078003 # DEPENDENCYPART_ARC
(5,3),0.040603 # DEPENDENCYPART_ARC
(5,4),-0.0340392 # DEPENDENCYPART_ARC
(5,6),0.0284748 # DEPENDENCYPART_ARC
(5,7),0.0346781 # DEPENDENCYPART_ARC
(5,8),-0.0120514 # DEPENDENCYPART_ARC
(5,9),-0.0619731 # DEPENDENCYPART_ARC
(5,10),-0.0450427 # DEPENDENCYPART_ARC
(5,11),-0.0521461 # DEPENDENCYPART_ARC
(5,12),-0.101981 # DEPENDENCYPART_ARC
(5,13),-0.104089 # DEPENDENCYPART_ARC
(5,14),-0.0649211 # DEPENDENCYPART_ARC
(5,15),-0.0557941 # DEPENDENCYPART_ARC
(6,1),0.000614921 # DEPENDENCYPART_ARC
(6,2),0.015256 # DEPENDENCYPART_ARC
(6,3),0.0118332 # DEPENDENCYPART_ARC
(6,4),0.024505 # DEPENDENCYPART_ARC
(6,5),0.0497043 # DEPENDENCYPART_ARC
(6,7),0.057159 # DEPENDENCYPART_ARC
(6,8),0.0484604 # DEPENDENCYPART_ARC
(6,9),0.0311069 # DEPENDENCYPART_ARC
(6,10),0.00179039 # DEPENDENCYPART_ARC
(6,11),-0.0139608 # DEPENDENCYPART_ARC
(6,12),-0.0321577 # DEPENDENCYPART_ARC
(6,13),-0.0524784 # DEPENDENCYPART_ARC
(6,14),-0.0380894 # DEPENDENCYPART_ARC
(6,15),-0.0401287 # DEPENDENCYPART_ARC
(7,1),0.00153912 # DEPENDENCYPART_ARC
(7,2),0.0053417 # DEPENDENCYPART_ARC
(7,3),0.0181588 # DEPENDENCYPART_ARC
(7,4),0.0400851 # DEPENDENCYPART_ARC
(7,5),0.00216401 # DEPENDENCYPART_ARC
(7,6),0.138017 # DEPENDENCYPART_ARC
(7,8),0.0806877 # DEPENDENCYPART_ARC
(7,9),0.158663 # DEPENDENCYPART_ARC
(7,10),0.0225885 # DEPENDENCYPART_ARC
(7,11),0.0139371 # DEPENDENCYPART_ARC
(7,12),0.0897387 # DEPENDENCYPART_ARC
(7,13),0.0112552 # DEPENDENCYPART_ARC
(7,14),-0.0289863 # DEPENDENCYPART_ARC
(7,15),-0.0228914 # DEPENDENCYPART_ARC
(8,1),-0.052029 # DEPENDENCYPART_ARC
(8,2),-0.0395232 # DEPENDENCYPART_ARC
(8,3),-0.0192616 # DEPENDENCYPART_ARC
(8,4),-0.0199894 # DEPENDENCYPART_ARC
(8,5),-0.0261526 # DEPENDENCYPART_ARC
(8,6),0.0257984 # DEPENDENCYPART_ARC
(8,7),0.0392773 # DEPENDENCYPART_ARC
(8,9),0.0446314 # DEPENDENCYPART_ARC
(8,10),0.01322 # DEPENDENCYPART_ARC
(8,11),-0.0223037 # DEPENDENCYPART_ARC
(8,12),-0.0292789 # DEPENDENCYPART_ARC
(8,13),-0.0392869 # DEPENDENCYPART_ARC
(8,14),-0.0446189 # DEPENDENCYPART_ARC
(8,15),-0.0501384 # DEPENDENCYPART_ARC
(9,1),-0.0339043 # DEPENDENCYPART_ARC
(9,2),0.135963 # DEPENDENCYPART_ARC
(9,3),-0.0390264 # DEPENDENCYPART_ARC
(9,4),-0.0137403 # DEPENDENCYPART_ARC
(9,5),-0.158839 # DEPENDENCYPART_ARC
(9,6),0.0306658 # DEPENDENCYPART_ARC
(9,7),0.0106495 # DEPENDENCYPART_ARC
(9,8),0.0746728 # DEPENDENCYPART_ARC
(9,10),0.028634 # DEPENDENCYPART_ARC
(9,11),-0.0165252 # DEPENDENCYPART_ARC
(9,12),-0.101715 # DEPENDENCYPART_ARC
(9,13),-0.0585206 # DEPENDENCYPART_ARC
(9,14),-0.0813825 # DEPENDENCYPART_ARC
(9,15),-0.0898164 # DEPENDENCYPART_ARC
(10,1),-0.0589557 # DEPENDENCYPART_ARC
(10,2),-0.0642329 # DEPENDENCYPART_ARC
(10,3),-0.0618025 # DEPENDENCYPART_ARC
(10,4),-0.0669857 # DEPENDENCYPART_ARC
(10,5),-0.050984 # DEPENDENCYPART_ARC
(10,6),-0.0163598 # DEPENDENCYPART_ARC
(10,7),-0.0256981 # DEPENDENCYPART_ARC
(10,8),-0.0034838 # DEPENDENCYPART_ARC
(10,9),0.0335381 # DEPENDENCYPART_ARC
(10,11),0.0599415 # DEPENDENCYPART_ARC
(10,12),0.0518008 # DEPENDENCYPART_ARC
(10,13),0.00864929 # DEPENDENCYPART_ARC
(10,14),-0.00258364 # DEPENDENCYPART_ARC
(10,15),-0.0208915 # DEPENDENCYPART_ARC
